Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-18 04:09:43.970278+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[116] AppleATCDPINAdapterPort(atc1-dpin0)<0x100000322>::handleTunnelStateChange: ignoring redundant tunnel state change notification, _tunnelActive=NO
2026-09-18 04:09:43.970315+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[128] AppleATCDPINAdapterPort(atc1-dpin1)<0x100000323>::start: _dpSwitch=0x10000031b _role=1 _address.domain=0 _address.endpoint=1 _address.port=2
2026-09-18 04:09:43.970324+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[134] AppleATCDPINAdapterPort(atc1-dpin1)<0x100000323>::start: ok=yes
2026-09-18 04:09:43.970395+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[137] AppleATCDPINAdapterPort(atc1-dpin1)<0x100000323>::handleTunnelStateChange: allocated=NO activated=NO interruptsEnabled=NO _dpTunnelActive=NO _dpinAdapterPortActive=NO _hpdAsserted=NO
2026-09-18 04:09:43.970400+0300 0x790      Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[140] AppleATCDPINAdapterPort(atc1-dpin1)<0x100000323>::handleTunnelStateChange: ignoring redundant tunnel state change notification, _tunnelActive=NO
2026-09-18 04:09:43.970857+0300 0x609      Error       0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint3:0x100000679): Interface not found. Packet type:0x32
2026-09-18 04:09:43.970899+0300 0x609      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint3:0x100000679): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.970942+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:dpointInterface.cpp:663] [AFK][AFKMailboxSharedMemoryEndpointInterface:#68] if:1 inCmd:11 inResp:11 outRepErr:0 outCmdErr:0 t:140475352
2026-09-18 04:09:43.971700+0300 0x609      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint4:0x100000611): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.973531+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint6:0x10000067c): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.973577+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:dpointInterface.cpp:663] [AFK][AFKMailboxSharedMemoryEndpointInterface:#69] if:1 inCmd:0 inResp:0 outRepErr:0 outCmdErr:0 t:140538879
2026-09-18 04:09:43.973639+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:PPipeDCP_H13P.cpp:13238] IOMFB setup_video_limits called on secondary display with no timing set
2026-09-18 04:09:43.973993+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:PPipeDCP_H13P.cpp:13583] bool IOMFB::UPPipeDCP_H13P::init_m3_timing_parameters(): Ext entry for init_m3_timing tunable target is 0
2026-09-18 04:09:43.975300+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:PPipeDCP_H13P.cpp:13238] IOMFB setup_video_limits called on secondary display with no timing set
2026-09-18 04:09:43.976378+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint7:0x10000067d): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.976415+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:dpointInterface.cpp:663] [AFK][AFKMailboxSharedMemoryEndpointInterface:#70] if:3 inCmd:0 inResp:0 outRepErr:0 outCmdErr:0 t:140606693
2026-09-18 04:09:43.979376+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint5:0x100000612): Create AFKMailboxEndpointInterface (id:1)
